Start pack to DataLoader... Done!
Start training...
Epoch: 177, Avg_Epoch_Time: 15.7075, LossD: 0.8855, LossG: 0.9403
Epoch: 178, Avg_Epoch_Time: 17.0866, LossD: 1.1271, LossG: 1.1010
Epoch: 179, Avg_Epoch_Time: 15.6921, LossD: 1.2288, LossG: 1.8653
Epoch: 180, Avg_Epoch_Time: 17.0938, LossD: 1.2422, LossG: 1.1393
Epoch: 181, Avg_Epoch_Time: 15.8803, LossD: 1.2738, LossG: 1.5160
Epoch: 182, Avg_Epoch_Time: 17.1035, LossD: 0.7899, LossG: 2.1863
Epoch: 183, Avg_Epoch_Time: 15.7479, LossD: 1.3808, LossG: 0.6580
Epoch: 184, Avg_Epoch_Time: 17.0505, LossD: 1.1116, LossG: 1.6016
Epoch: 185, Avg_Epoch_Time: 15.7520, LossD: 1.4240, LossG: 0.6213
Epoch: 186, Avg_Epoch_Time: 17.0885, LossD: 1.2419, LossG: 1.8794
Epoch: 187, Avg_Epoch_Time: 15.7302, LossD: 0.6008, LossG: 1.9368
Epoch: 188, Avg_Epoch_Time: 17.0751, LossD: 1.0068, LossG: 1.6496
Epoch: 189, Avg_Epoch_Time: 15.7686, LossD: 1.2485, LossG: 0.9299
Epoch: 190, Avg_Epoch_Time: 17.0903, LossD: 1.0099, LossG: 0.8897
Epoch: 191, Avg_Epoch_Time: 15.9465, LossD: 1.1093, LossG: 0.8089
Epoch: 192, Avg_Epoch_Time: 17.1041, LossD: 1.0289, LossG: 0.7300
Epoch: 193, Avg_Epoch_Time: 15.7556, LossD: 1.0019, LossG: 0.5093
Epoch: 194, Avg_Epoch_Time: 17.1259, LossD: 0.9242, LossG: 2.5697
Epoch: 195, Avg_Epoch_Time: 15.7001, LossD: 1.3996, LossG: 0.7211
Epoch: 196, Avg_Epoch_Time: 17.1422, LossD: 1.0430, LossG: 1.3064
Epoch: 197, Avg_Epoch_Time: 15.7812, LossD: 0.9385, LossG: 1.8142
Epoch: 198, Avg_Epoch_Time: 17.1259, LossD: 0.4297, LossG: 2.2233
Epoch: 199, Avg_Epoch_Time: 15.7572, LossD: 0.9341, LossG: 0.7528
Epoch: 200, Avg_Epoch_Time: 17.0744, LossD: 1.1461, LossG: 1.0995
Epoch: 201, Avg_Epoch_Time: 15.8856, LossD: 0.6674, LossG: 1.7467
Epoch: 202, Avg_Epoch_Time: 17.1074, LossD: 1.0341, LossG: 1.8170
Epoch: 203, Avg_Epoch_Time: 15.7610, LossD: 1.2057, LossG: 1.2985
Epoch: 204, Avg_Epoch_Time: 17.0597, LossD: 1.1279, LossG: 1.6834
Epoch: 205, Avg_Epoch_Time: 15.8028, LossD: 1.0881, LossG: 0.4892
Epoch: 206, Avg_Epoch_Time: 17.1278, LossD: 0.9470, LossG: 1.3821
Epoch: 207, Avg_Epoch_Time: 15.7613, LossD: 0.9847, LossG: 0.8041
Epoch: 208, Avg_Epoch_Time: 17.1147, LossD: 1.0737, LossG: 0.9918
Epoch: 209, Avg_Epoch_Time: 15.7612, LossD: 0.9570, LossG: 1.4583
Epoch: 210, Avg_Epoch_Time: 17.1159, LossD: 0.8706, LossG: 0.9821
Epoch: 211, Avg_Epoch_Time: 15.9196, LossD: 0.9681, LossG: 1.6578
Epoch: 212, Avg_Epoch_Time: 17.1037, LossD: 1.2028, LossG: 0.7339
Epoch: 213, Avg_Epoch_Time: 15.7213, LossD: 1.3103, LossG: 0.9689
Epoch: 214, Avg_Epoch_Time: 17.0376, LossD: 1.3593, LossG: 0.6132
Epoch: 215, Avg_Epoch_Time: 15.7708, LossD: 1.1237, LossG: 0.5433
Epoch: 216, Avg_Epoch_Time: 15.7304, LossD: 1.1080, LossG: 1.0420
