nohup: ignoring input
Ep 28300 Up 2207254: mean reward 15.50, max_reward 74.0, actual_mean_reward 61.29
Ep 28400 Up 2219098: mean reward 16.81, max_reward 88.0, actual_mean_reward 43.97
Ep 28500 Up 2229967: mean reward 17.46, max_reward 93.0, actual_mean_reward 65.56
Ep 28600 Up 2241727: mean reward 16.79, max_reward 75.0, actual_mean_reward 75.45
Ep 28700 Up 2250463: mean reward 14.13, max_reward 85.0, actual_mean_reward 46.74
Ep 28800 Up 2259950: mean reward 14.48, max_reward 87.0, actual_mean_reward 41.73
Ep 28900 Up 2270935: mean reward 15.62, max_reward 76.0, actual_mean_reward 50.70
Ep 29000 Up 2280825: mean reward 16.67, max_reward 77.0, actual_mean_reward 63.74
Ep 29100 Up 2289317: mean reward 12.83, max_reward 89.0, actual_mean_reward 5.08
Ep 29200 Up 2299340: mean reward 16.59, max_reward 72.0, actual_mean_reward 55.80
Ep 29300 Up 2309851: mean reward 16.64, max_reward 91.0, actual_mean_reward 60.87
Ep 29400 Up 2320722: mean reward 17.98, max_reward 89.0, actual_mean_reward 70.43
Ep 29500 Up 2329911: mean reward 14.72, max_reward 80.0, actual_mean_reward 71.82
Ep 29600 Up 2339066: mean reward 14.15, max_reward 77.0, actual_mean_reward 61.96
Ep 29700 Up 2351299: mean reward 18.16, max_reward 81.0, actual_mean_reward 59.73
Ep 29800 Up 2360864: mean reward 15.96, max_reward 83.0, actual_mean_reward 70.64
Ep 29900 Up 2371285: mean reward 16.73, max_reward 76.0, actual_mean_reward 61.16
Ep 30000 Up 2381933: mean reward 16.63, max_reward 81.0, actual_mean_reward 71.60
